Accident_No,Surface_Cond_Desc,Atmosph_Cond_Desc,Accident_Type_Desc,Day,Light_Condition_Desc,Speed_Zone,Accident_Date,Accident_Time,Alcohol_Influence,Total_Persons_Inv,Inj_Or_Fatal,Lat,Long,LGA
T20180013052,Dry,Clear,Struck animal,Thursday,Day,100,2018/07/12,10:00:00,No,1.0,1.0,-37.56576224,149.1154617,EAST GIPPSLAND
T20180013055,Dry,Clear,Collision with vehicle,Thursday,Day,60,2018/06/28,12:00:00,No,3.0,2.0,-38.08301693,144.3487724,GREATER GEELONG
T20180013074,Wet,Raining,Collision with vehicle,Thursday,Day,100,2018/07/12,16:00:00,No,2.0,1.0,-38.08127383,143.8544448,GOLDEN PLAINS
T20180013078,Dry,Clear,Collision with vehicle,Thursday,Dark Street lights on,50,2018/07/12,18:30:00,Yes,2.0,1.0,-36.12370647,146.8949625,WODONGA
T20180013089,Dry,Clear,Collision with vehicle,Thursday,Dark Street lights on,60,2018/07/12,20:40:00,Yes,7.0,1.0,-37.04840577,143.7353834,CENTRAL GOLDFIELDS
T20180013093,Wet,Raining,Collision with vehicle,Thursday,Dark Street lights on,60,2018/07/12,20:57:00,Yes,3.0,1.0,-38.11142909,147.0657686,WELLINGTON
T20180013112,Wet,Fog,Collision with vehicle,Friday,Dark No street lights,110,2018/07/13,06:00:00,Yes,2.0,1.0,-38.20367685,146.2970219,LATROBE
T20180013118,Dry,Fog,Collision with a fixed object,Friday,Day,50,2018/07/13,08:20:00,No,1.0,1.0,-35.34150499,143.555712,SWAN HILL
T20180013119,Wet,Raining,Collision with vehicle,Thursday,Dark No street lights,100,2018/07/12,18:20:00,Yes,2.0,1.0,-38.54657537,146.7008007,WELLINGTON
T20180013120,Dry,Clear,Collision with vehicle,Friday,Day,110,2018/07/13,09:18:00,No,3.0,3.0,-38.09461969,145.83395,BAW BAW
T20180013121,Wet,Clear,Struck animal,Friday,Dark No street lights,100,2018/07/13,04:15:00,Yes,2.0,2.0,-37.76148101,141.0144214,GLENELG
T20180013126,Unknown,Fog,Collision with a fixed object,Thursday,Dark No street lights,100,2018/07/12,23:00:00,Yes,1.0,1.0,-37.2462049,141.7690711,SOUTHERN GRAMPIANS
T20180013134,Dry,Clear,Collision with vehicle,Friday,Day,40,2018/07/13,12:29:00,No,6.0,1.0,-38.15172198,146.7894112,WELLINGTON
T20180013143,Dry,Clear,No collision and no object struck,Friday,Day,60,2018/07/13,13:45:00,No,4.0,3.0,-38.35517977,142.4611378,WARRNAMBOOL
T20180013149,Dry,Clear,Collision with vehicle,Friday,Day,100,2018/07/13,14:30:00,No,4.0,4.0,-36.83461422,144.9247934,STRATHBOGIE
T20180013154,Dry,Clear,Collision with vehicle,Friday,Dusk/Dawn,110,2018/07/13,16:25:00,Yes,3.0,3.0,-36.5789355,145.9129059,BENALLA
T20180013158,Wet,Raining,Collision with vehicle,Friday,Dark Street lights on,60,2018/07/13,18:20:00,Yes,3.0,1.0,-37.82495912,147.6099409,EAST GIPPSLAND
T20180013164,Dry,Clear,Collision with a fixed object,Friday,Dark No street lights,100,2018/07/13,19:35:00,Yes,1.0,1.0,-35.99516117,145.9013,MOIRA
T20180013190,Dry,Clear,Collision with a fixed object,Saturday,Day,100,2018/07/14,08:40:00,No,3.0,1.0,-37.02116815,141.3068551,WEST WIMMERA
T20180013203,Dry,Clear,Collision with a fixed object,Saturday,Day,60,2018/07/14,10:15:00,No,4.0,3.0,-37.43049088,143.391569,PYRENEES
T20180013209,Dry,Clear,collision with some other object,Saturday,Day,999,2018/07/14,13:00:00,No,1.0,1.0,-37.32443364,144.3020635,HEPBURN
T20180013217,Dry,Clear,Vehicle overturned (no collision),Saturday,Dark No street lights,100,2018/07/14,00:15:00,Yes,2.0,1.0,-36.86566849,144.122267,GREATER BENDIGO
T20180013220,Dry,Clear,Collision with vehicle,Saturday,Day,100,2018/07/14,15:21:00,Yes,2.0,1.0,-36.52012579,147.371245,TOWONG
T20180013223,Wet,Clear,Struck Pedestrian,Saturday,Day,999,2018/07/14,16:10:00,Yes,2.0,1.0,-38.34044695,145.7639907,SOUTH GIPPSLAND
T20180013225,Unknown,Clear,Vehicle overturned (no collision),Friday,Day,999,2018/07/13,11:00:00,No,1.0,1.0,-35.77779996,141.3850208,HINDMARSH
T20180013242,Dry,Clear,Collision with a fixed object,Sunday,Dark No street lights,80,2018/07/15,00:05:00,No,1.0,1.0,-38.18437736,144.417406,GREATER GEELONG
T20180013251,Dry,Fog,Collision with vehicle,Saturday,Dark No street lights,100,2018/07/14,23:50:00,Yes,6.0,4.0,-37.01415785,146.169697,MANSFIELD
T20180013264,Dry,Clear,Vehicle overturned (no collision),Saturday,Dark No street lights,100,2018/07/14,21:15:00,Yes,1.0,1.0,-35.81816827,143.5462044,GANNAWARRA
T20180013268,Dry,Clear,Collision with a fixed object,Saturday,Day,80,2018/07/14,15:00:00,No,1.0,1.0,-37.465869,144.328277,MOORABOOL
T20180013269,Dry,Clear,Collision with vehicle,Sunday,Day,100,2018/07/15,12:49:00,No,5.0,1.0,-37.84725641,144.0618817,GOLDEN PLAINS
T20180013272,Dry,Clear,No collision and no object struck,Sunday,Day,60,2018/07/15,15:00:00,No,4.0,1.0,-38.38632141,142.498324,WARRNAMBOOL
T20180013278,Unknown,Clear,Collision with vehicle,Sunday,Unknown,50,2018/07/15,02:30:00,No,1.0,1.0,-38.56773277,146.6774321,WELLINGTON
T20180013280,Dry,Clear,No collision and no object struck,Sunday,Day,100,2018/07/15,16:30:00,Yes,1.0,1.0,-37.26937145,144.9564029,MITCHELL
T20180013287,Dry,Clear,Collision with a fixed object,Sunday,Dusk/Dawn,999,2018/06/24,17:00:00,Yes,2.0,2.0,-37.92721864,146.6423737,WELLINGTON
T20180013289,Dry,Clear,Collision with a fixed object,Sunday,Day,100,2018/07/15,16:50:00,Yes,1.0,1.0,-37.68836652,144.3706819,MOORABOOL
T20180013304,Dry,Clear,Vehicle overturned (no collision),Sunday,Day,60,2018/07/15,15:30:00,No,1.0,1.0,-36.77641882,144.2850933,GREATER BENDIGO
T20180013311,Dry,Clear,Collision with vehicle,Monday,Dark Street lights on,70,2018/07/09,21:30:00,Yes,2.0,1.0,-38.19792686,144.3625768,GREATER GEELONG
T20180013313,Dry,Clear,Vehicle overturned (no collision),Monday,Day,100,2018/07/16,07:25:00,No,1.0,1.0,-36.42082038,146.4242693,WANGARATTA
T20180013321,Wet,Raining,Collision with a fixed object,Monday,Day,60,2018/07/16,08:00:00,No,1.0,1.0,-37.40845107,144.2920502,HEPBURN
T20180013332,Dry,Clear,No collision and no object struck,Sunday,Day,999,2018/07/01,15:00:00,No,1.0,1.0,-38.52381053,145.5434385,BASS COAST
T20180013336,Dry,Clear,Collision with a fixed object,Monday,Day,100,2018/07/16,11:26:00,No,1.0,1.0,-36.62850262,146.8423982,ALPINE
T20180013339,Dry,Clear,Collision with vehicle,Monday,Day,70,2018/07/16,14:10:00,No,3.0,3.0,-37.34343962,144.742125,MACEDON RANGES
T20180013355,Dry,Clear,Struck Pedestrian,Friday,Dusk/Dawn,60,2018/07/06,17:00:00,Yes,2.0,1.0,-36.74234462,147.1661778,ALPINE
T20180013359,Wet,Raining,Collision with a fixed object,Monday,Dusk/Dawn,80,2018/07/16,16:40:00,No,2.0,1.0,-38.27874009,146.4128399,LATROBE
T20180013371,Dry,Clear,Collision with vehicle,Monday,Day,110,2018/07/16,08:00:00,No,2.0,1.0,-38.20714084,146.1080318,BAW BAW
T20180013374,Dry,Clear,Collision with vehicle,Sunday,Dark No street lights,100,2017/08/27,03:00:00,No,3.0,2.0,-37.49720021,143.8303322,BALLARAT
T20180013377,Dry,Clear,Collision with vehicle,Tuesday,Day,100,2018/07/17,08:35:00,No,2.0,2.0,-37.62801818,143.8368453,BALLARAT
T20180013382,Wet,Raining,Collision with a fixed object,Sunday,Dark No street lights,999,2018/07/08,21:30:00,Yes,1.0,1.0,-37.65563759,144.4577584,MOORABOOL
T20180013387,Dry,Clear,Collision with a fixed object,Sunday,Dark Street lights unknown,80,2018/07/15,03:35:00,Yes,1.0,1.0,-38.51517185,145.3462509,BASS COAST
T20180013395,Dry,Clear,Struck Pedestrian,Tuesday,Day,60,2018/07/17,09:27:00,No,5.0,1.0,-38.20819591,146.1514292,BAW BAW
T20180013397,Dry,Clear,Collision with vehicle,Tuesday,Day,100,2018/07/17,12:10:00,No,2.0,1.0,-36.33532001,144.7774685,CAMPASPE
T20180013409,Wet,Raining,Struck Pedestrian,Tuesday,Day,50,2018/07/17,15:35:00,No,2.0,1.0,-38.63070037,145.7301423,BASS COAST
T20180013423,Dry,Clear,collision with some other object,Tuesday,Day,110,2018/07/17,16:00:00,No,2.0,2.0,-38.18458845,146.2644684,LATROBE
T20180013434,Dry,Clear,Collision with a fixed object,Tuesday,Dark No street lights,100,2018/07/17,18:50:00,Yes,1.0,1.0,-36.6549393,144.4033891,GREATER BENDIGO
T20180013457,Dry,Clear,collision with some other object,Tuesday,Day,40,2018/07/17,13:46:00,No,1.0,1.0,-38.56649624,145.9707235,SOUTH GIPPSLAND
T20180013471,Dry,Clear,Collision with vehicle,Wednesday,Day,60,2018/07/18,13:20:00,No,2.0,1.0,-38.15021254,144.3520901,GREATER GEELONG
T20180013475,Dry,Clear,Collision with vehicle,Friday,Day,60,2018/07/13,15:05:00,No,2.0,1.0,-37.55448339,143.8130535,BALLARAT
T20180013480,Wet,Raining,Collision with vehicle,Tuesday,Day,100,2018/07/17,15:40:00,No,3.0,2.0,-38.18373885,144.3036915,GREATER GEELONG
T20180013485,Wet,Clear,Vehicle overturned (no collision),Saturday,Day,999,2018/07/07,14:30:00,Yes,1.0,1.0,-36.70687016,144.250142,GREATER BENDIGO
T20180013491,Dry,Clear,Collision with a fixed object,Wednesday,Day,100,2018/07/18,10:10:00,No,1.0,1.0,-38.48615041,145.4644835,BASS COAST
T20180013497,Dry,Clear,Collision with vehicle,Wednesday,Dark Street lights on,50,2018/07/18,18:30:00,Yes,3.0,1.0,-38.14450042,144.3591857,GREATER GEELONG
